nodeA	nodeB	AtoB	BtoA	Total
15R	16L	23	23	46
3R	4L	11	11	22
8R	9L	11	11	22
6R	7L	10	10	20
19R	20L	10	10	20
1R	2L	9	9	18
13R	14L	9	9	18
14R	15L	9	9	18
17R	18L	9	9	18
2R	3L	8	8	16
10R	11L	8	8	16
4R	5L	7	7	14
9R	10L	7	7	14
11R	12L	7	7	14
5R	6L	6	6	12
12R	13L	6	6	12
7R	8L	4	4	8
18R	19L	4	4	8
28R	29L	2	2	4
6R	19R	2	1	3
6R	20L	2	1	3
7L	19R	2	1	3
7L	20L	2	1	3
