Pearson_cc	cycle_cover	cycle_abundance	P-value
0.995420970468	1 3 4 5 6 7 	(5, 8, 4, 4, 8, 15)	4.51856729111e-29
0.995420970468	1 2 3 4 5 6 7 	(4, 1, 8, 5, 3, 8, 16)	4.51856729111e-29
0.995420970468	1 2 3 4 5 6 7 	(3, 2, 8, 6, 2, 8, 17)	4.51856729111e-29
0.995419021528	1 3 4 5 6 7 	(5, 9, 4, 4, 8, 16)	4.54454810734e-29
0.995419021528	1 2 3 4 5 6 7 	(4, 1, 9, 5, 3, 8, 17)	4.54454810734e-29
0.99532059907	1 3 4 5 6 7 	(6, 10, 4, 5, 8, 17)	6.05164653248e-29
0.995307367689	1 3 4 5 6 7 	(6, 10, 4, 5, 9, 17)	6.28629395744e-29
0.995303590073	1 3 4 5 6 7 	(5, 9, 5, 5, 9, 17)	6.3548159287e-29
0.995253390678	1 3 4 5 6 7 	(5, 9, 5, 4, 9, 17)	7.33351139932e-29
0.995244374182	1 3 4 5 6 7 	(5, 9, 5, 4, 8, 17)	7.52342645245e-29
0.995242023941	1 2 3 4 5 6 7 	(2, 2, 7, 5, 2, 6, 14)	7.57367225704e-29
0.995242023941	2 3 4 6 7 	(4, 7, 7, 6, 16)	7.57367225704e-29
0.995242023941	1 3 4 5 6 7 	(4, 7, 3, 4, 6, 12)	7.57367225704e-29
0.995242023941	1 2 3 4 5 6 7 	(1, 3, 7, 6, 1, 6, 15)	7.57367225704e-29
0.995242023941	1 2 3 4 5 6 7 	(3, 1, 7, 4, 3, 6, 13)	7.57367225704e-29
0.995234159257	1 3 4 5 6 7 	(5, 9, 5, 5, 8, 16)	7.74407910333e-29
0.995234159257	1 2 3 4 5 6 7 	(4, 1, 9, 6, 4, 8, 17)	7.74407910333e-29
0.995231616015	1 3 4 5 6 7 	(4, 7, 4, 4, 7, 13)	7.79993927964e-29
0.995231616015	2 3 4 6 7 	(4, 7, 8, 7, 17)	7.79993927964e-29
0.995231616015	1 2 3 4 5 6 7 	(2, 2, 7, 6, 2, 7, 15)	7.79993927964e-29
0.995231616015	1 2 3 4 5 6 7 	(3, 1, 7, 5, 3, 7, 14)	7.79993927964e-29
0.995231616015	1 2 3 4 5 6 7 	(1, 3, 7, 7, 1, 7, 16)	7.79993927964e-29
